oficio4_08,nombre,n,n_h,n_m,gap_ajustado_pct,p_valor,p_fdr,significativo,sig_fdr,brecha_cruda_pct
9613,Barrenderos,463,258,205,-16.12743376280822,0.012372412606951988,0.03881208886290418,True,True,-12.827737337127044
3355,Inspectores y detectives de la Policía de Investigaciones (PDI),119,85,34,-16.06094721711313,0.20510466341981504,0.3230710292731687,False,False,-15.52817649589089
1323,"Directores, gerentes y administradores de construcción",350,312,38,-15.95644535225198,0.1985495526624157,0.3160120708192898,False,False,-24.88972855082895
1324,"Directores, gerentes y administradores de empresas de abastecimiento, almacenamiento y distribución",273,211,62,-15.712813603915453,0.20862955042386888,0.3230710292731687,False,False,-18.05659537624268
2422,Especialistas en políticas de administración,518,250,268,-15.62523904958837,0.007429161980321952,0.026173509130672724,True,True,-19.465134868232457
2511,Analistas de sistemas,484,408,76,-15.512806584267903,0.04672718288343525,0.10700524880306671,True,False,-14.748685228685666
4412,Carteros y empleados de servicios de correos y encomiendas,133,97,36,-15.171423460354127,0.02765999118552398,0.07451927037041167,True,False,-13.473426596580307
3257,Inspectores de la salud y técnicos en prevención de riesgos,194,97,97,-15.114681896831506,0.0719284078540714,0.14448776665423113,False,False,-19.916106208610785
9621,"Mensajeros, estafetas, maleteros y repartidores de folletos y diarios a domicilio",379,269,110,-14.84629006742082,0.00841883592485071,0.027940774301316123,True,True,-9.682408253327123
4225,"Empleados de informaciones, reclamos o sugerencias",437,133,304,-14.800351862742023,0.001180439080492146,0.006286524405411662,True,True,-15.449384986053516
8183,"Operadores de máquinas de embalaje, embotellamiento y etiquetado",290,141,149,-14.75355545311665,0.005467844411402911,0.020526825741168306,True,True,-22.333745613922716
9612,Clasificadores de desechos,119,95,24,-14.62002043853714,0.5783856509548864,0.6923601789612386,False,False,9.650266039536447
5153,Conserjes,770,618,152,-14.451152714296889,0.0015543599531937513,0.007415592276695189,True,True,-8.076257881285908
2230,Veterinarios,271,119,152,-14.357995586772354,0.15849116655542184,0.26425633517989483,False,False,-25.26411463463516
1349,"Directores, gerentes y administradores de otros servicios profesionales no clasificados previamente",166,100,66,-14.35465030239893,0.290205996753933,0.4015531539418168,False,False,-14.090291998106919
9334,Reponedores de estanterías,1595,712,883,-14.341423405637743,4.6351806765709824e-05,0.0003931319907165759,True,True,-12.138943995193863
2411,Contadores,1401,615,786,-14.341095910392443,0.001385918432795341,0.006905046017367407,True,True,-13.562011958940923
9412,Ayudantes de cocina,1138,281,857,-14.150995113849064,0.0007910676234221814,0.004418402091797062,True,True,-10.608518863612382
5312,Asistentes de aulas e inspectores de patio,1440,242,1198,-14.14972043326308,0.0032008750160676946,0.013830195824141548,True,True,-20.33139023104872
7313,"Joyeros, orfebres y plateros",124,50,74,-14.087527360870189,0.5519394462062288,0.6723092190490766,False,False,58.693520749980465
5151,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",205,97,108,-13.695350093130953,0.02287798388946083,0.06389095500837232,True,False,-17.759237030421303
4221,Empleados de agencias de viajes,121,23,98,-13.680462097068125,0.4894783772623925,0.6255819277061746,False,False,-19.763875237524587
7317,"Artesanos en madera, cestería y materiales similares",190,129,61,-13.669731726192891,0.36704512398307143,0.48684853126726635,False,False,-2.711389792902563
3334,Agentes inmobiliarios,519,232,287,-13.633171727774208,0.0800857512763622,0.15947510471553863,False,False,-14.436311138455004
3313,Técnicos y asistentes en contabilidad,771,268,503,-13.622040393221058,0.01407234359806564,0.04354819843185178,True,True,-17.463587668286106
2243,Ingenieros en prevención de riesgos y otros profesionales de la seguridad e higiene laboral y ambiental,801,481,320,-13.50386183159632,0.0030218918129965022,0.013307946638003826,True,True,-23.565674715436845
3323,Agentes responsables de adquisiciones,437,229,208,-13.43878446768425,0.03492409523995099,0.08599589042955674,True,False,-16.617479086724874
3342,Secretarios jurídicos,111,28,83,-13.255886140506668,0.2797822700505743,0.3930683425863897,False,False,-25.497103611294392
5152,"Amas de llaves, mayordomos domésticos y dueños/administradores de pequeños establecimientos de alojamiento",225,128,97,-12.844217969361305,0.2106320755409241,0.3230710292731687,False,False,5.021898314939266
9122,Limpiadores de vehículos,231,210,21,-12.48893444751289,0.5687639464894145,0.6891372684977563,False,False,-16.758954410600822
3333,Agentes de empleo y contratistas de personal,108,80,28,-12.451352533562565,0.3699198447183596,0.48684853126726635,False,False,-11.048953434432395
9313,Obreros de la construcción de edificios,1807,1736,71,-12.370925704915548,0.18435070430951672,0.3015450806205667,False,False,6.572305645533194
2433,Profesionales de ventas técnicas y médicas (excluyendo las TIC),116,81,35,-12.295296493043795,0.3822739413495557,0.5002327575374186,False,False,-19.988867741300854
4211,Cajeros de bancos y de oficinas de correo,130,33,97,-12.061718778669873,0.18706391885655194,0.30381303133439996,False,False,-15.342719012135008
3221,Técnicos y auxiliares paramédicos de enfermería,2599,420,2179,-12.015610789457487,8.497836596399466e-06,8.10835241906449e-05,True,True,-13.486541390309725
3123,Supervisores de la construcción,579,541,38,-11.79406397406999,0.13019731179707983,0.23112546047698668,False,False,-23.93689555251992
4132,Digitadores de datos,105,36,69,-11.65370000602557,0.1644854679353709,0.27098685005179807,False,False,-11.691063462866424
5414,Guardias de seguridad,3956,3179,777,-11.558629080515647,9.397296385493803e-08,1.4346539148520538e-06,True,True,-7.63315413060639
4321,Empleados encargados del control de abastecimiento e inventario,2604,2052,552,-11.509311470451223,3.850616053124867e-06,4.3426604973616024e-05,True,True,-9.506505602518223
5132,bármanes,214,130,84,-11.392105823070754,0.2501810708433645,0.3603236806486193,False,False,-17.54481363794922
4226,Recepcionistas (funciones generales),244,59,185,-11.36781440867044,0.20872725287470328,0.3230710292731687,False,False,-7.874327465087594
3341,Supervisores de oficina,146,67,79,-11.276557051266822,0.2871393142225238,0.40094453022535337,False,False,-7.130781443730283
3322,"Representantes comerciales (excepto venta de productos y servicios industriales, farmacéuticos y de tecnologías de la información y las comunicaciones)",534,333,201,-11.227203047712598,0.05774107529190187,0.12130923157656447,False,False,-12.986953762458697
3359,Agentes de la administración pública para la aplicación de la ley no clasificados previamente,217,143,74,-11.124818492281129,0.23863194833370982,0.35143059108044594,False,False,-3.5640135581844534
2142,"Ingenieros civiles, ingenieros en construcción y constructores civiles",834,677,157,-10.82591150802582,0.05044241816096995,0.11214867727050601,False,False,-14.184405492245489
5230,Vendedores de entrada (entretenciones y eventos deportivos) y cajeros de comercio,2064,318,1746,-10.769203062823085,0.0006912877186928679,0.003957622189516669,True,True,-13.090689557889402
4323,Empleados de servicios de transporte,466,314,152,-10.529441159997576,0.1264815999581541,0.2262834874251351,False,False,-11.693899735533641
4416,Empleados y asistentes de recursos humanos,403,137,266,-10.497767730327222,0.0952068021412047,0.18168631408613228,False,False,-9.696524028209087
4419,Otro personal de apoyo administrativo no clasificado previamente,419,178,241,-10.483437773110882,0.04845380826463619,0.10983492245289862,True,False,-10.941893621408816
7115,Carpinteros de obra,2867,2834,33,-10.334827234069177,0.21427805304658376,0.3230710292731687,False,False,-8.48605672440591
2113,Químicos,52,29,23,-10.314243918954402,0.6704701100395152,0.7715460060253717,False,False,-1.2151971836245057
2211,Médicos generales,343,171,172,-9.979373261017965,0.09030880590176182,0.17378753404624755,False,False,-11.750862280674045
8322,"Conductores de automóviles, taxis y camionetas",4481,3989,492,-9.93363904248733,0.015299679926143117,0.046715022707823656,True,True,-10.994857039642959
2247,Tecnólogos médicos,250,99,151,-9.411622661838104,0.15924617578526412,0.26425633517989483,False,False,-8.899849176247388
3259,Otros técnicos de la salud no clasificados previamente,80,32,48,-9.408540088589056,0.316259482329186,0.4336731823555903,False,False,-7.6088441325713685
2114,Geólogos y geofísicos,84,57,27,-9.271797746452082,0.5320345775511564,0.6595202430996228,False,False,-22.013257635431096
2423,Especialistas en políticas y servicios de personal,361,143,218,-9.262377642607289,0.29108219892725584,0.4015531539418168,False,False,-3.974435485665828
9214,Ayudantes de jardinería y horticultura,138,95,43,-9.221541705253266,0.3261197564336755,0.444532287043522,False,False,-5.321545468901723
9321,Empacadores manuales,485,214,271,-8.734871047654746,0.055013906139312674,0.11885079722549624,False,False,-8.339954418525208
3321,Agentes de seguros y ejecutivos de fondos de pensiones,368,102,266,-8.696749593193475,0.3681634322218188,0.48684853126726635,False,False,-17.554550924997503
7231,Mecánicos y reparadores de vehículos de motor,2563,2525,38,-8.450160271265128,0.5209776248357469,0.6519337491113992,False,False,3.13987052936624
7131,Pintores y empapeladores de paredes,767,730,37,-8.165577919904244,0.5089035066816305,0.6438613427076983,False,False,-11.003483332776721
4212,Receptores de apuestas,54,25,29,-7.412353652890014,0.49172378596991884,0.6255819277061746,False,False,-11.35459663259738
2352,Educadores para necesidades especiales,697,35,662,-7.125102141256789,0.234488170022487,0.34912757246947185,False,False,-8.45513952916378
5412,Carabineros,581,475,106,-6.715424092554612,0.2426635204657961,0.3539487018259064,False,False,-21.885467719924822
5131,Garzones de mesa,1326,450,876,-6.481374845641286,0.14686534845747268,0.2521034944790178,False,False,-13.415455216863304
1311,"Directores, gerentes y administradores de producción y operaciones agropecuarias y de silvicultura",356,293,63,-6.329981466916312,0.7195142495930331,0.8037500641795345,False,False,-24.60586905213724
9329,Obreros de la industria manufacturera no clasificados previamente,87,66,21,-6.0673648354136915,0.5445533490717374,0.6668594488632505,False,False,3.172284228397415
1112,Personal directivo de la administración pública,183,113,70,-5.028881120482199,0.6062808948776428,0.7156614686957743,False,False,17.773139231836943
3112,Técnicos en construcción y topógrafos,413,372,41,-5.001351864252723,0.5328001963905249,0.6595202430996228,False,False,-5.440902282867032
2248,Terapeutas ocupacionales,220,32,188,-4.732061963409462,0.7042905578726824,0.7944952598662279,False,False,-28.334714935540607
2330,Profesores de educación media,1099,480,619,-4.575631216758447,0.1520747580349,0.25796384881475626,False,False,-4.601238766771543
2635,Profesionales del trabajo social,1153,183,970,-4.418224098144785,0.39338525562675053,0.5118478610143515,False,False,-5.670690280752466
2642,Periodistas,317,165,152,-3.8755853071424484,0.5793465009330725,0.6923601789612386,False,False,3.196420187565696
7511,Carniceros y pescaderos,791,472,319,-3.475791287260066,0.3380806782723762,0.45810932144600086,False,False,-4.386921179490244
2341,Profesores de educación básica,2568,717,1851,-3.3891912607324937,0.13293393671429587,0.2324879588217724,False,False,-1.1855432711433744
9111,Trabajadores de casa particular y asistentes domésticos,4939,75,4864,-3.169558703028763,0.7890429029596442,0.8563546197998033,False,False,-3.7181308873573737
8321,Conductores de motocicletas,372,321,51,-3.1221194185258483,0.7283286651123302,0.8096469141297263,False,False,-5.444438557540376
2519,Otros desarrolladores y analistas de software y multimedia no clasificados previamente,169,134,35,-3.064075706287539,0.7762403749408795,0.8505217505333081,False,False,-7.029483201177145
8344,Operadores de autoelevadoras y montacargas,639,612,27,-2.4147802721585454,0.6869420427713653,0.7826354616648887,False,False,-4.633164361281872
2431,Profesionales de la publicidad y la comercialización,375,192,183,-2.380579061510857,0.780702283222438,0.8513372517044681,False,False,-11.62148253944607
2221,Enfermeros profesionales,1142,183,959,-2.100588392928726,0.7743514048052136,0.8505217505333081,False,False,-3.4620116498269904
2634,Psicólogos,1016,289,727,-1.8436880352707075,0.738821809140622,0.8173439337835867,False,False,-8.27382898152954
3121,Supervisores de minas,290,270,20,-1.515542368878342,0.9382110942820765,0.9615399626063049,False,False,-6.48323752750406
3142,Técnicos agropecuarios (incluyendo acuícolas),228,155,73,-1.4852457616743697,0.8381036596439417,0.9053100851814275,False,False,-5.371555113712468
2241,Dentistas,336,144,192,-1.378658756362261,0.8967456295393823,0.9463352496060763,False,False,-13.617718207217056
2359,Otros profesionales de la educación no clasificados previamente,649,179,470,-1.3426882304523713,0.9159842386375097,0.9529548879279668,False,False,-12.778308404545069
8332,Conductores de camiones pesados y de alto tonelaje,3975,3891,84,-1.031997122898587,0.8904511511769388,0.9463352496060763,False,False,6.640055220037544
9629,Otras ocupaciones elementales no clasificadas previamente,171,120,51,-0.9298629226490496,0.9462963376439326,0.9631193836464914,False,False,-0.2787182136236632
2320,Profesores de educación media técnico profesional (especialidades) y de formación laboral,101,56,45,-0.8793366715678652,0.9196638874763348,0.9529548879279668,False,False,4.3880659417205425
2149,Otros ingenieros no clasificados previamente,993,593,400,-0.8732096609379902,0.8567126316863725,0.9167625825055108,False,False,-0.5827822747319744
3213,Técnicos y asistentes farmacéuticos,89,28,61,-0.7880169057198461,0.9087542933528538,0.9502499231863175,False,False,5.903874734676351
2421,Especialistas y asesores de gestión,416,230,186,-0.6044662956022018,0.9405456402786563,0.9615399626063049,False,False,-11.790598301546062
8172,Operadores de instalaciones de procesamiento de la madera,390,361,29,-0.5702312316246294,0.9322940045934973,0.9615399626063049,False,False,-4.523030077592494
6221,Trabajadores de explotaciones de acuicultura,200,146,54,-0.5597463388011259,0.9534924128594151,0.9643216657170759,False,False,5.173448257205848
2242,Químicos farmaceúticos,182,69,113,-0.402048612039585,0.955899642435704,0.9643216657170759,False,False,-4.324142590558888
2166,Diseñadores gráficos y de multimedia,433,240,193,-0.23137740661910433,0.9762055394248048,0.9762055394248048,False,False,10.463694340180329
9215,Obreros forestales,495,472,23,0.5997548670077624,0.9622646490199509,0.9664851080068805,False,False,0.20736291087024572
2145,Ingenieros químicos,151,71,80,1.6336990798683448,0.8949990937583103,0.9463352496060763,False,False,12.65117004791836
2351,Especialistas en métodos pedagógicos,388,130,258,1.7192162769351427,0.8504109229994565,0.9142915557130308,False,False,5.076593651276773
2246,Fonoaudiólogos,246,27,219,2.0648173735068553,0.9028657725751943,0.948423219815227,False,False,-17.293649969370893
2611,Abogados,912,481,431,2.238370109963217,0.7128218969306945,0.8001775215545542,False,False,-5.41896068804788
3331,Agentes de aduana,182,97,85,3.856816406720731,0.676252034858067,0.7743085799124866,False,False,-2.113849869757667
1330,"Directores, gerentes y administradores de servicios de tecnología de la información y las comunicaciones",175,138,37,4.8544347685702816,0.6269230063233651,0.7362326587079518,False,False,-16.84197421075512
2632,"Sociólogos, antropólogos, geógrafos y arqueólogos",149,78,71,5.157202580582698,0.6675405696553811,0.7715460060253717,False,False,-4.871378846003161
2512,Desarrolladores de software,286,248,38,5.422382571533846,0.6530878385455507,0.7630465052394445,False,False,19.841445637019817
8331,Conductores de buses y trolebuses,1320,1241,79,7.459927162432356,0.2548227400170546,0.36471504664940946,False,False,2.0316754597260234
2131,"Biólogos, botánicos, zoólogos, genetista y farmacólogos",102,48,54,9.424136510674487,0.5410191108228752,0.6660934213894539,False,False,16.213227286513643
8342,Operadores de máquinas de movimiento de tierras,1200,1171,29,9.48386124548659,0.46962060948014894,0.604174829050304,False,False,14.80843754371537
2146,Ingenieros en minas y metalúrgicos,291,250,41,11.129659600357611,0.5804941238452306,0.6923601789612386,False,False,16.981581924538112
5413,Gendarmes,209,158,51,11.190454335163412,0.19871501396496827,0.3160120708192898,False,False,11.083040097440367
3521,Técnicos de radiodifusión y grabación audiovisual,191,160,31,12.052489542281219,0.6639613673449889,0.7715460060253717,False,False,12.486124167961709
5113,Guías de turismo,138,84,54,20.90972004994658,0.3443053875111972,0.46379961023567157,False,False,-15.51431414061948
2424,Especialistas en formación del personal,60,26,34,21.131663479623896,0.6930402661694646,0.7856743611525119,False,False,-27.16517355656186
2432,Profesionales de las relaciones públicas,121,47,74,24.9786700001029,0.5894033051510996,0.699343818029025,False,False,-15.381780530259004
2643,"Traductores, intérpretes de lengua de señas y lingüistas",55,21,34,28.99198405931522,0.21361981845372435,0.3230710292731687,False,False,36.27227268947826
2652,"Músicos, cantantes y compositores",148,128,20,31.323206752789744,0.2696426774373495,0.383529025671758,False,False,40.99653456256858
